,Round,Date,Home,xGH,xGA,Away,Attendance,GHome,GAway,Winner,Season
34,Regular Season,2018-03-24,Vancouver,0.8,0.6,LA Galaxy,22120,0,0,,2018
35,Regular Season,2018-03-30,Toronto FC,3.0,0.5,Real Salt Lake,28006,3,1,Toronto FC,2018
36,Regular Season,2018-03-31,Orlando City,2.8,0.9,NY Red Bulls,23257,4,3,Orlando City,2018
37,Regular Season,2018-03-31,LA Galaxy,1.4,1.0,Los Angeles FC,27068,4,3,LA Galaxy,2018
38,Regular Season,2018-03-31,Columbus Crew,1.1,1.0,Vancouver,8992,1,2,Vancouver,2018
39,Regular Season,2018-03-31,Chicago Fire,1.4,0.9,Portland Timbers,13678,2,2,,2018
40,Regular Season,2018-03-31,San Jose,1.2,1.0,NYCFC,18000,1,2,NYCFC,2018
41,Regular Season,2018-03-31,Minnesota Utd,1.0,0.7,Atlanta Utd,18057,0,1,Atlanta Utd,2018
42,Regular Season,2018-03-31,Sporting KC,1.1,0.5,D.C. United,18624,1,0,Sporting KC,2018
43,Regular Season,2018-03-31,Houston Dynamo,1.7,1.2,New England,17156,0,2,New England,2018
44,Regular Season,2018-03-31,Colorado Rapids,1.3,1.1,Philadelphia,10790,3,0,Colorado Rapids,2018
45,Regular Season,2018-03-31,Seattle,1.0,0.9,Montreal Impact,39469,0,1,Montreal Impact,2018
46,Regular Season,2018-04-06,New England,3.3,0.2,Montreal Impact,10908,4,0,New England,2018
47,Regular Season,2018-04-07,Atlanta Utd,3.1,0.8,Los Angeles FC,45207,5,0,Atlanta Utd,2018
48,Regular Season,2018-04-07,Philadelphia,1.7,0.8,San Jose,14795,1,1,,2018
49,Regular Season,2018-04-07,FC Dallas,1.2,0.6,Colorado Rapids,13147,1,1,,2018
51,Regular Season,2018-04-07,Chicago Fire,0.7,2.0,Columbus Crew,11023,1,0,Chicago Fire,2018
52,Regular Season,2018-04-07,Real Salt Lake,1.0,0.9,Vancouver,16015,2,1,Real Salt Lake,2018
53,Regular Season,2018-04-08,Orlando City,2.1,2.1,Portland Timbers,22337,3,2,Orlando City,2018
54,Regular Season,2018-04-08,LA Galaxy,1.4,0.8,Sporting KC,25846,0,2,Sporting KC,2018
55,Regular Season,2018-04-11,NYCFC,4.3,1.4,Real Salt Lake,18603,4,0,NYCFC,2018
56,Regular Season,2018-04-13,Philadelphia,1.4,1.6,Orlando City,16032,0,2,Orlando City,2018
57,Regular Season,2018-04-13,Vancouver,0.3,1.3,Los Angeles FC,22120,0,2,Los Angeles FC,2018
58,Regular Season,2018-04-14,NY Red Bulls,3.3,0.8,Montreal Impact,15017,3,1,NY Red Bulls,2018
59,Regular Season,2018-04-14,Colorado Rapids,2.6,1.1,Toronto FC,11232,2,0,Colorado Rapids,2018
60,Regular Season,2018-04-14,Chicago Fire,0.3,1.5,LA Galaxy,21915,0,1,LA Galaxy,2018
61,Regular Season,2018-04-14,D.C. United,0.4,1.4,Columbus Crew,12396,1,0,D.C. United,2018
62,Regular Season,2018-04-14,New England,1.4,1.1,FC Dallas,11508,0,1,FC Dallas,2018
63,Regular Season,2018-04-14,Portland Timbers,1.3,1.2,Minnesota Utd,21144,3,2,Portland Timbers,2018
64,Regular Season,2018-04-14,San Jose,0.6,2.9,Houston Dynamo,17822,2,2,,2018
65,Regular Season,2018-04-15,Sporting KC,2.1,0.8,Seattle,18508,2,2,,2018
66,Regular Season,2018-04-15,Atlanta Utd,1.1,1.1,NYCFC,45001,2,2,,2018
67,Regular Season,2018-04-20,Sporting KC,4.1,0.9,Vancouver,19690,6,0,Sporting KC,2018
68,Regular Season,2018-04-21,Montreal Impact,1.2,4.5,Los Angeles FC,20302,3,5,Los Angeles FC,2018
69,Regular Season,2018-04-21,Houston Dynamo,2.7,2.9,Toronto FC,17109,5,1,Houston Dynamo,2018
70,Regular Season,2018-04-21,NY Red Bulls,2.4,1.4,Chicago Fire,18784,1,2,Chicago Fire,2018
71,Regular Season,2018-04-21,Columbus Crew,1.4,0.9,New England,11264,2,2,,2018
72,Regular Season,2018-04-21,Orlando City,2.8,1.7,San Jose,25527,3,2,Orlando City,2018
73,Regular Season,2018-04-21,FC Dallas,2.7,1.6,Philadelphia,13326,2,0,FC Dallas,2018
74,Regular Season,2018-04-21,Real Salt Lake,2.9,0.6,Colorado Rapids,17461,3,0,Real Salt Lake,2018
75,Regular Season,2018-04-21,LA Galaxy,0.5,4.0,Atlanta Utd,25846,0,2,Atlanta Utd,2018
77,Regular Season,2018-04-22,Seattle,2.4,1.0,Minnesota Utd,39477,3,1,Seattle,2018
78,Regular Season,2018-04-22,Portland Timbers,1.7,0.7,NYCFC,21144,3,0,Portland Timbers,2018
79,Regular Season,2018-04-27,Vancouver,2.5,1.0,Real Salt Lake,19283,2,0,Vancouver,2018
80,Regular Season,2018-04-28,Atlanta Utd,2.4,0.7,Montreal Impact,45039,4,1,Atlanta Utd,2018
81,Regular Season,2018-04-28,Toronto FC,1.7,3.3,Chicago Fire,26331,2,2,,2018
82,Regular Season,2018-04-28,Philadelphia,1.5,0.8,D.C. United,16493,3,2,Philadelphia,2018
83,Regular Season,2018-04-28,Columbus Crew,2.3,0.9,San Jose,11479,2,1,Columbus Crew,2018
84,Regular Season,2018-04-28,New England,0.7,0.6,Sporting KC,17015,1,0,New England,2018
85,Regular Season,2018-04-28,Minnesota Utd,1.1,1.9,Houston Dynamo,21574,2,1,Minnesota Utd,2018
86,Regular Season,2018-04-28,LA Galaxy,1.1,2.8,NY Red Bulls,26704,2,3,NY Red Bulls,2018
87,Regular Season,2018-04-29,Colorado Rapids,1.4,1.8,Orlando City,15702,1,2,Orlando City,2018
88,Regular Season,2018-04-29,NYCFC,3.2,1.3,FC Dallas,22115,3,1,NYCFC,2018
89,Regular Season,2018-04-29,Los Angeles FC,1.3,1.3,Seattle,22000,1,0,Los Angeles FC,2018
90,Regular Season,2018-05-04,Toronto FC,1.4,0.4,Philadelphia,24728,3,0,Toronto FC,2018
91,Regular Season,2018-05-05,Montreal Impact,2.5,1.3,New England,15622,4,2,Montreal Impact,2018
92,Regular Season,2018-05-05,NY Red Bulls,2.0,0.5,NYCFC,25219,4,0,NY Red Bulls,2018
93,Regular Season,2018-05-05,Minnesota Utd,1.0,1.1,Vancouver,19642,1,0,Minnesota Utd,2018
94,Regular Season,2018-05-05,Los Angeles FC,2.0,0.5,FC Dallas,22000,1,1,,2018
95,Regular Season,2018-05-05,Seattle,1.1,0.6,Columbus Crew,39515,0,0,,2018
96,Regular Season,2018-05-05,Houston Dynamo,2.4,2.0,LA Galaxy,22320,3,2,Houston Dynamo,2018
97,Regular Season,2018-05-05,Sporting KC,2.9,0.8,Colorado Rapids,20553,1,0,Sporting KC,2018
98,Regular Season,2018-05-05,Chicago Fire,0.7,1.9,Atlanta Utd,15024,1,2,Atlanta Utd,2018
99,Regular Season,2018-05-05,San Jose,0.8,0.9,Portland Timbers,17850,0,1,Portland Timbers,2018
100,Regular Season,2018-05-06,Orlando City,1.3,1.6,Real Salt Lake,23258,3,1,Orlando City,2018
101,Regular Season,2018-05-09,Columbus Crew,1.6,0.6,Philadelphia,7683,1,0,Columbus Crew,2018
103,Regular Season,2018-05-09,Toronto FC,3.0,1.5,Seattle,26089,1,2,Seattle,2018
104,Regular Season,2018-05-09,Atlanta Utd,1.8,1.6,Sporting KC,44696,0,2,Sporting KC,2018
105,Regular Season,2018-05-09,Chicago Fire,1.0,0.5,Montreal Impact,10067,1,0,Chicago Fire,2018
106,Regular Season,2018-05-09,Los Angeles FC,3.0,0.7,Minnesota Utd,22000,2,0,Los Angeles FC,2018
107,Regular Season,2018-05-11,Vancouver,2.1,0.3,Houston Dynamo,18813,2,2,,2018
108,Regular Season,2018-05-12,Minnesota Utd,1.3,2.8,San Jose,19721,1,3,San Jose,2018
109,Regular Season,2018-05-12,Montreal Impact,0.8,2.2,Philadelphia,17140,0,2,Philadelphia,2018
110,Regular Season,2018-05-12,FC Dallas,0.6,2.7,LA Galaxy,18355,3,2,FC Dallas,2018
111,Regular Season,2018-05-12,Columbus Crew,3.0,1.8,Chicago Fire,11108,3,0,Columbus Crew,2018
112,Regular Season,2018-05-12,New England,1.3,2.1,Toronto FC,19596,3,2,New England,2018
113,Regular Season,2018-05-12,Real Salt Lake,1.3,0.9,D.C. United,16961,3,2,Real Salt Lake,2018
114,Regular Season,2018-05-12,Colorado Rapids,1.3,1.6,NY Red Bulls,15691,1,2,NY Red Bulls,2018
115,Regular Season,2018-05-13,Portland Timbers,0.8,0.3,Seattle,21144,1,0,Portland Timbers,2018
116,Regular Season,2018-05-13,Orlando City,0.7,1.7,Atlanta Utd,24232,1,2,Atlanta Utd,2018
117,Regular Season,2018-05-13,Los Angeles FC,,,NYCFC,22000,2,2,,2018
118,Regular Season,2018-05-16,Vancouver,2.8,0.9,San Jose,17357,2,2,,2018
119,Regular Season,2018-05-18,Toronto FC,1.5,0.4,Orlando City,28009,2,1,Toronto FC,2018
120,Regular Season,2018-05-19,NYCFC,2.5,0.3,Colorado Rapids,21494,4,0,NYCFC,2018
121,Regular Season,2018-05-19,Portland Timbers,2.6,1.3,Los Angeles FC,21144,2,1,Portland Timbers,2018
122,Regular Season,2018-05-19,FC Dallas,1.8,1.0,Vancouver,13907,2,2,,2018
123,Regular Season,2018-05-19,Philadelphia,2.2,0.7,Real Salt Lake,16019,4,1,Philadelphia,2018
124,Regular Season,2018-05-19,New England,1.0,1.4,Columbus Crew,14087,0,1,Columbus Crew,2018
125,Regular Season,2018-05-19,San Jose,1.4,1.8,D.C. United,17644,1,3,D.C. United,2018
126,Regular Season,2018-05-20,Minnesota Utd,0.8,1.5,Sporting KC,23117,1,1,,2018
127,Regular Season,2018-05-20,Chicago Fire,1.2,2.1,Houston Dynamo,14206,2,3,Houston Dynamo,2018
129,Regular Season,2018-05-20,Atlanta Utd,1.2,1.6,NY Red Bulls,45089,1,3,NY Red Bulls,2018
130,Regular Season,2018-05-21,Montreal Impact,1.4,0.5,LA Galaxy,20801,0,1,LA Galaxy,2018
131,Regular Season,2018-05-25,Toronto FC,2.7,1.9,FC Dallas,27549,0,1,FC Dallas,2018
132,Regular Season,2018-05-25,Houston Dynamo,3.0,1.1,NYCFC,18123,3,1,Houston Dynamo,2018
133,Regular Season,2018-05-25,LA Galaxy,0.5,0.2,San Jose,23118,1,0,LA Galaxy,2018
134,Regular Season,2018-05-26,Seattle,1.4,0.3,Real Salt Lake,39508,0,1,Real Salt Lake,2018
135,Regular Season,2018-05-26,Vancouver,3.3,1.2,New England,22120,3,3,,2018
136,Regular Season,2018-05-26,NY Red Bulls,0.9,1.8,Philadelphia,17814,0,0,,2018
137,Regular Season,2018-05-26,Orlando City,2.0,0.6,Chicago Fire,25288,1,2,Chicago Fire,2018
138,Regular Season,2018-05-26,Minnesota Utd,0.8,0.6,Montreal Impact,21331,2,0,Minnesota Utd,2018
139,Regular Season,2018-05-26,Colorado Rapids,1.6,2.3,Portland Timbers,17424,2,3,Portland Timbers,2018
140,Regular Season,2018-05-26,Los Angeles FC,1.3,1.5,D.C. United,22000,1,1,,2018
141,Regular Season,2018-05-27,Sporting KC,1.0,1.3,Columbus Crew,20697,0,0,,2018
142,Regular Season,2018-05-30,New England,1.1,2.1,Atlanta Utd,10547,1,1,,2018
143,Regular Season,2018-05-30,Philadelphia,2.4,1.5,Chicago Fire,14805,3,1,Philadelphia,2018
144,Regular Season,2018-05-30,Real Salt Lake,1.2,1.0,Houston Dynamo,16613,2,1,Real Salt Lake,2018
145,Regular Season,2018-05-30,LA Galaxy,1.8,2.4,FC Dallas,18003,2,3,FC Dallas,2018
146,Regular Season,2018-06-01,Colorado Rapids,2.0,1.0,Vancouver,16746,1,2,Vancouver,2018
147,Regular Season,2018-06-02,Portland Timbers,2.1,1.5,LA Galaxy,21144,1,1,,2018
148,Regular Season,2018-06-02,Columbus Crew,1.5,1.9,Toronto FC,12305,3,3,,2018
149,Regular Season,2018-06-02,NYCFC,2.5,1.2,Orlando City,22103,3,0,NYCFC,2018
150,Regular Season,2018-06-02,Atlanta Utd,5.1,0.3,Philadelphia,45140,3,1,Atlanta Utd,2018
151,Regular Season,2018-06-02,New England,0.9,0.3,NY Red Bulls,21576,2,1,New England,2018
152,Regular Season,2018-06-02,Montreal Impact,0.3,0.5,Houston Dynamo,17512,1,0,Montreal Impact,2018
153,Regular Season,2018-06-02,FC Dallas,2.8,0.9,Los Angeles FC,14022,2,1,FC Dallas,2018
155,Regular Season,2018-06-02,Chicago Fire,1.2,1.2,San Jose,14138,2,1,Chicago Fire,2018
156,Regular Season,2018-06-02,Real Salt Lake,1.7,0.3,Seattle,18556,2,0,Real Salt Lake,2018
157,Regular Season,2018-06-03,Sporting KC,1.9,0.6,Minnesota Utd,20422,4,1,Sporting KC,2018
158,Regular Season,2018-06-08,Philadelphia,1.5,1.7,Toronto FC,16493,0,2,Toronto FC,2018
159,Regular Season,2018-06-09,NYCFC,2.4,0.4,Atlanta Utd,25628,1,1,,2018
160,Regular Season,2018-06-09,Columbus Crew,2.1,0.7,NY Red Bulls,11246,1,1,,2018
161,Regular Season,2018-06-09,Vancouver,4.6,1.3,Orlando City,22120,5,2,Vancouver,2018
162,Regular Season,2018-06-09,FC Dallas,2.1,0.7,Montreal Impact,13506,2,0,FC Dallas,2018
163,Regular Season,2018-06-09,Chicago Fire,0.6,1.4,New England,14415,1,1,,2018
164,Regular Season,2018-06-09,Houston Dynamo,2.4,0.0,Colorado Rapids,16058,2,0,Houston Dynamo,2018
165,Regular Season,2018-06-09,Seattle,1.3,1.3,D.C. United,39465,2,1,Seattle,2018
166,Regular Season,2018-06-09,Portland Timbers,0.7,1.0,Sporting KC,21144,0,0,,2018
167,Regular Season,2018-06-09,San Jose,1.3,2.7,Los Angeles FC,17650,3,4,Los Angeles FC,2018
168,Regular Season,2018-06-09,LA Galaxy,1.6,0.8,Real Salt Lake,25462,3,0,LA Galaxy,2018
169,Regular Season,2018-06-13,Columbus Crew,1.2,0.8,Atlanta Utd,10132,0,2,Atlanta Utd,2018
170,Regular Season,2018-06-13,Montreal Impact,2.8,1.7,Orlando City,15621,3,0,Montreal Impact,2018
171,Regular Season,2018-06-13,NY Red Bulls,3.5,0.9,Seattle,15553,2,1,NY Red Bulls,2018
172,Regular Season,2018-06-13,Toronto FC,2.1,2.5,D.C. United,23011,4,4,,2018
173,Regular Season,2018-06-13,Colorado Rapids,1.2,1.6,Chicago Fire,16068,2,2,,2018
174,Regular Season,2018-06-13,San Jose,1.3,1.7,New England,16234,2,2,,2018
175,Regular Season,2018-06-23,Philadelphia,3.0,0.2,Vancouver,15250,4,0,Philadelphia,2018
176,Regular Season,2018-06-23,NY Red Bulls,1.6,0.9,FC Dallas,20827,3,0,NY Red Bulls,2018
177,Regular Season,2018-06-23,Orlando City,0.5,1.3,Montreal Impact,23498,0,2,Montreal Impact,2018
178,Regular Season,2018-06-23,Sporting KC,3.3,2.4,Houston Dynamo,20081,3,2,Sporting KC,2018
179,Regular Season,2018-06-23,Colorado Rapids,1.7,2.7,Minnesota Utd,13664,3,2,Colorado Rapids,2018
181,Regular Season,2018-06-23,Seattle,1.8,2.2,Chicago Fire,39513,1,1,,2018
182,Regular Season,2018-06-23,Real Salt Lake,2.2,1.4,San Jose,18472,1,1,,2018
183,Regular Season,2018-06-23,Los Angeles FC,1.5,0.5,Columbus Crew,22000,2,0,Los Angeles FC,2018
184,Regular Season,2018-06-24,Atlanta Utd,2.0,1.4,Portland Timbers,45116,1,1,,2018
185,Regular Season,2018-06-24,NYCFC,1.9,1.0,Toronto FC,23930,2,1,NYCFC,2018
186,Regular Season,2018-06-29,Minnesota Utd,1.1,0.2,FC Dallas,22345,0,1,FC Dallas,2018
187,Regular Season,2018-06-30,Seattle,1.1,1.2,Portland Timbers,47521,2,3,Portland Timbers,2018
188,Regular Season,2018-06-30,Montreal Impact,1.3,0.4,Sporting KC,16142,2,0,Montreal Impact,2018
189,Regular Season,2018-06-30,Atlanta Utd,1.7,2.0,Orlando City,71932,4,0,Atlanta Utd,2018
190,Regular Season,2018-06-30,New England,1.8,1.4,D.C. United,19371,3,2,New England,2018
191,Regular Season,2018-06-30,Columbus Crew,1.4,1.0,Real Salt Lake,16680,2,1,Columbus Crew,2018
192,Regular Season,2018-06-30,Los Angeles FC,2.6,1.8,Philadelphia,22000,4,1,Los Angeles FC,2018
193,Regular Season,2018-06-30,Chicago Fire,0.8,0.9,NYCFC,15204,3,2,Chicago Fire,2018
194,Regular Season,2018-06-30,San Jose,2.2,1.1,LA Galaxy,50743,3,3,,2018
195,Regular Season,2018-07-01,Toronto FC,2.4,1.8,NY Red Bulls,26363,0,1,NY Red Bulls,2018
196,Regular Season,2018-07-01,Vancouver,2.0,1.7,Colorado Rapids,21038,0,1,Colorado Rapids,2018
197,Regular Season,2018-07-03,Houston Dynamo,0.9,0.8,Los Angeles FC,16037,2,2,,2018
198,Regular Season,2018-07-04,Minnesota Utd,0.8,1.8,Toronto FC,20559,4,3,Minnesota Utd,2018
199,Regular Season,2018-07-04,FC Dallas,1.4,1.8,Atlanta Utd,17298,3,2,FC Dallas,2018
200,Regular Season,2018-07-04,Colorado Rapids,1.2,1.4,Seattle,16374,1,2,Seattle,2018
201,Regular Season,2018-07-04,Real Salt Lake,4.0,1.5,Sporting KC,19206,4,2,Real Salt Lake,2018
202,Regular Season,2018-07-04,LA Galaxy,0.8,1.1,D.C. United,25462,2,2,,2018
203,Regular Season,2018-07-07,Philadelphia,1.1,3.3,Atlanta Utd,17025,0,2,Atlanta Utd,2018
204,Regular Season,2018-07-07,New England,0.3,0.2,Seattle,16484,0,0,,2018
205,Regular Season,2018-07-07,Montreal Impact,1.8,0.9,Colorado Rapids,16030,2,1,Montreal Impact,2018
207,Regular Season,2018-07-07,Sporting KC,2.4,0.7,Toronto FC,21064,2,2,,2018
208,Regular Season,2018-07-07,Houston Dynamo,1.9,0.5,Minnesota Utd,13947,3,0,Houston Dynamo,2018
209,Regular Season,2018-07-07,Real Salt Lake,1.8,1.0,FC Dallas,17319,2,0,Real Salt Lake,2018
210,Regular Season,2018-07-07,Vancouver,3.3,1.2,Chicago Fire,22120,3,2,Vancouver,2018
211,Regular Season,2018-07-07,LA Galaxy,2.3,1.2,Columbus Crew,21211,4,0,LA Galaxy,2018
212,Regular Season,2018-07-07,Los Angeles FC,3.0,1.6,Orlando City,22000,4,1,Los Angeles FC,2018
213,Regular Season,2018-07-07,Portland Timbers,2.3,1.0,San Jose,21144,2,1,Portland Timbers,2018
214,Regular Season,2018-07-08,NYCFC,1.5,1.1,NY Red Bulls,30027,1,0,NYCFC,2018
215,Regular Season,2018-07-11,NYCFC,2.1,0.1,Montreal Impact,18706,3,0,NYCFC,2018
216,Regular Season,2018-07-11,Chicago Fire,1.5,2.3,Philadelphia,12008,3,4,Philadelphia,2018
217,Regular Season,2018-07-14,NYCFC,2.4,1.1,Columbus Crew,21085,2,0,NYCFC,2018
218,Regular Season,2018-07-14,NY Red Bulls,2.0,1.3,Sporting KC,16793,3,2,NY Red Bulls,2018
219,Regular Season,2018-07-14,New England,1.8,1.2,LA Galaxy,36573,2,3,LA Galaxy,2018
220,Regular Season,2018-07-14,Montreal Impact,1.2,0.6,San Jose,15485,2,0,Montreal Impact,2018
221,Regular Season,2018-07-14,FC Dallas,3.3,0.4,Chicago Fire,16000,3,1,FC Dallas,2018
222,Regular Season,2018-07-14,Minnesota Utd,1.8,1.7,Real Salt Lake,23667,3,2,Minnesota Utd,2018
223,Regular Season,2018-07-14,D.C. United,0.9,0.8,Vancouver,20504,3,1,D.C. United,2018
224,Regular Season,2018-07-14,Orlando City,2.0,1.2,Toronto FC,23420,2,1,Orlando City,2018
225,Regular Season,2018-07-14,Colorado Rapids,0.4,0.7,Houston Dynamo,14327,0,0,,2018
226,Regular Season,2018-07-15,Atlanta Utd,1.5,0.9,Seattle,72243,1,1,,2018
227,Regular Season,2018-07-15,Los Angeles FC,1.5,1.0,Portland Timbers,22000,0,0,,2018
228,Regular Season,2018-07-18,Minnesota Utd,1.3,1.6,New England,27544,2,1,Minnesota Utd,2018
229,Regular Season,2018-07-21,Atlanta Utd,3.0,0.5,D.C. United,45087,3,1,Atlanta Utd,2018
230,Regular Season,2018-07-21,Seattle,1.6,0.6,Vancouver,41849,2,0,Seattle,2018
231,Regular Season,2018-07-21,Chicago Fire,1.2,1.4,Toronto FC,15177,1,2,Toronto FC,2018
233,Regular Season,2018-07-21,Philadelphia,2.2,1.1,LA Galaxy,19013,1,3,LA Galaxy,2018
234,Regular Season,2018-07-21,NY Red Bulls,1.3,0.8,New England,16027,2,0,NY Red Bulls,2018
235,Regular Season,2018-07-21,Columbus Crew,1.8,1.4,Orlando City,14052,3,2,Columbus Crew,2018
236,Regular Season,2018-07-21,Houston Dynamo,0.8,1.7,FC Dallas,19295,1,1,,2018
237,Regular Season,2018-07-21,Real Salt Lake,0.8,1.5,Colorado Rapids,19207,2,2,,2018
238,Regular Season,2018-07-21,Portland Timbers,2.2,1.4,Montreal Impact,21144,2,2,,2018
239,Regular Season,2018-07-22,Minnesota Utd,2.5,1.0,Los Angeles FC,22739,5,1,Minnesota Utd,2018
240,Regular Season,2018-07-25,Houston Dynamo,1.0,1.9,Philadelphia,13094,1,3,Philadelphia,2018
241,Regular Season,2018-07-25,D.C. United,1.0,2.8,NY Red Bulls,15655,0,1,NY Red Bulls,2018
242,Regular Season,2018-07-25,San Jose,1.0,0.7,Seattle,16478,0,1,Seattle,2018
243,Regular Season,2018-07-26,Orlando City,1.7,2.3,NYCFC,23790,0,2,NYCFC,2018
244,Regular Season,2018-07-26,Los Angeles FC,1.7,1.7,LA Galaxy,22716,2,2,,2018
245,Regular Season,2018-07-28,Montreal Impact,0.4,2.3,Atlanta Utd,19064,1,2,Atlanta Utd,2018
246,Regular Season,2018-07-28,NY Red Bulls,1.3,0.7,Columbus Crew,16459,2,3,Columbus Crew,2018
247,Regular Season,2018-07-28,Toronto FC,3.2,0.8,Chicago Fire,29190,3,0,Toronto FC,2018
248,Regular Season,2018-07-28,D.C. United,1.4,1.3,Colorado Rapids,18931,2,1,D.C. United,2018
249,Regular Season,2018-07-28,Sporting KC,1.5,1.7,FC Dallas,20758,2,3,FC Dallas,2018
250,Regular Season,2018-07-28,Vancouver,2.7,1.6,Minnesota Utd,20831,4,2,Vancouver,2018
251,Regular Season,2018-07-28,San Jose,1.4,0.4,Real Salt Lake,16351,0,0,,2018
252,Regular Season,2018-07-28,Portland Timbers,2.3,1.2,Houston Dynamo,21144,2,1,Portland Timbers,2018
253,Regular Season,2018-07-29,Seattle,1.1,1.4,NYCFC,39528,3,1,Seattle,2018
254,Regular Season,2018-07-29,LA Galaxy,3.1,1.3,Orlando City,24941,4,3,LA Galaxy,2018
255,Regular Season,2018-08-04,Atlanta Utd,3.5,1.5,Toronto FC,45191,2,2,,2018
256,Regular Season,2018-08-04,Orlando City,1.1,2.1,New England,23879,3,3,,2018
257,Regular Season,2018-08-04,Montreal Impact,1.6,2.1,D.C. United,19152,1,1,,2018
259,Regular Season,2018-08-04,FC Dallas,3.1,1.4,San Jose,17282,1,3,San Jose,2018
260,Regular Season,2018-08-04,Minnesota Utd,0.6,2.6,Seattle,24482,1,2,Seattle,2018
261,Regular Season,2018-08-04,NYCFC,2.1,0.8,Vancouver,20802,2,2,,2018
262,Regular Season,2018-08-04,Colorado Rapids,1.4,0.6,LA Galaxy,17837,2,1,Colorado Rapids,2018
263,Regular Season,2018-08-04,Houston Dynamo,0.3,1.1,Sporting KC,14675,0,1,Sporting KC,2018
264,Regular Season,2018-08-04,Real Salt Lake,2.1,0.6,Chicago Fire,19817,2,1,Real Salt Lake,2018
265,Regular Season,2018-08-04,Portland Timbers,2.4,0.6,Philadelphia,21144,3,0,Portland Timbers,2018
266,Regular Season,2018-08-05,NY Red Bulls,2.1,1.7,Los Angeles FC,20402,2,1,NY Red Bulls,2018
267,Regular Season,2018-08-11,Columbus Crew,1.0,0.5,Houston Dynamo,15891,1,0,Columbus Crew,2018
268,Regular Season,2018-08-11,New England,1.6,2.8,Philadelphia,19516,2,3,Philadelphia,2018
